nm1285621	Miguel Mato	1952
nm1509276	Daniela Gébová	1964
nm0147826	Jorge Cedron	1942
nm0723818	Jacques Richard	1954
nm2754484	Ashley Scott Davison	1978
nm2555265	Marcus D. Spencer	1984
nm2827922	Stefano Sardo	1972
nm0000195	Bill Murray	1950
nm0308593	Harry Garson	1882
nm0577477	Ib Melchior	1917
nm0745636	Jean Rougeul	1905
nm0743715	Nat Ross	1902
nm0249189	Fredrik Edfeldt	1972
nm1764625	Peter Rocha	1942
nm0043705	Kader Ayd	1976
nm0005165	Chad Lowe	1968
nm2702839	Tommy Both	1985
nm2275648	Michael Storch	1987
nm0049462	Béla Balázs	1884
nm0746740	Roy Rowland	1910
nm0197173	Nils Dahlström	1895
nm0283444	Emmett J. Flynn	1892
nm2104063	Eric Heisserer	1970
nm0597995	William V. Mong	1875
nm0249325	Gustaf Edgren	1895
nm1884016	Attilio Gatti	1896
nm0689852	John Polson	1965
nm0283945	Dan Fogler	1976
nm0107245	Andy Brennan	1923
nm1186703	Erik de Castro	1971
nm0002862	Ernst Winar	1894
nm1998095	Shin Itagaki	1974
nm0346306	Stéphan Guérin-Tillié	1972
nm0104888	Carsten Brandt	1944
nm4792512	Rodrigo de Oliveira	1985
nm0211742	Carlos Alberto de Souza Barros	1927
nm5780103	Zubair Khan	1987
nm0621993	Julius R. Nasso	1952
nm0919414	Birgitta Weizenegger	1970
nm2328687	Jonathan Kalafer	1975
nm1637481	Mark Colegrove	1979
nm0992159	Federico Veiroj	1976
nm0741124	Faliero Rosati	1946
nm0866707	Yoshiyuki Tomino	1941
nm1089575	Philippe Ducrest	1928
nm0157137	Giichi Nishihara	1929
nm0133531	José Canalejas	1925
nm2802157	Keli Price	1990
nm0162878	Souleymane Cissé	1940
nm1467976	Rob Carpenter	1973
nm1045681	Yun-su Chong	1962
nm2293691	Ivan G. Anderson	1980
nm3367478	Alex Lutz	1978
nm0407169	István Iglódi	1944
nm0421425	Erik Aalbæk Jensen	1923
nm3005627	Andrew Renzi	1984
nm1351636	Brad Rego	1975
nm2429007	Greg DeLiso	1986
nm7820068	Miguel 'Mike' Wise	1986
nm0646512	J.C. Oliva	1968
nm10370143	Parvinder Singh Wraich	1973
nm1723225	Nishikant Kamat	1970
nm0844532	Mario Sábato	1945
nm0608558	Ben Moses	1942
nm0420746	Guy Jenkin	1955
nm0335137	Anatoliy Granik	1918
nm0229182	Djinn	1968
nm0427176	Geneviève Jolliffe	1972
nm0196930	Jens Dahl	1961
nm0519434	Robert Longo	1953
nm0149081	Jeromy Ceseña	1978
nm1632508	Catherine Chabot	1988
nm0824782	Nikolaj Steen	1967
nm4307673	Clara Bodén	1983
nm2024251	Xiaowei Lu	1953
nm2620778	Shô Tsukikawa	1982
nm0353330	Johan Hagelbäck	1946
nm0231190	Bob Dolman	1949
nm0005846	Gernot Roll	1939
nm1767184	Vít Karas	1978
nm0796923	Don Siegel	1912
nm0305659	Manuel García Ferré	1929
nm0519021	Joan Long	1925
nm4156271	Eung-soo Kim	1966
nm0244901	Salil Dutta	1932
nm0006737	Hark Bohm	1939
nm0406654	Narciso Ibáñez Serrador	1935
nm0247621	Allan Eastman	1950
nm2542269	Woody Bavota	1955
nm6325996	Kaan Atilla Taskin	1988
nm2380031	Alfonso Sahagun Casaus	1978
nm0815372	Koula Sossiadis Kazista	1972
nm5697473	István P. Szabó	1972
nm1058265	Nurbek Egen	1975
nm0001945	Claude Berri	1934
nm1417657	L.C. Holt	1981
nm0946523	Marianna Yarovskaya	1971
nm0874866	Nicholas Tse	1980
nm0417452	Dato Janelidze	1958
nm0689983	Jindrich Polák	1925
nm3552662	Cüneyt Inay	1983
nm0348884	Harold Guskin	1941
nm0882190	Chano Urueta	1895
nm0003094	Martin Faltýn	1957
nm0461849	Per Knutzon	1897
nm1751754	Christian Bunz	1977
nm0529201	Mikael Lypinski	1975
nm2008726	Jennifer Clary	1983
nm0135852	Emanuele Caracciolo	1912
nm4695478	Rudolf Havlik	1976
nm0271548	Peter Paul Felner	1884
nm1135329	Natalia Beristain	1981
nm0229665	Marek Dobes	1971
nm0134018	Benjamín Cann	1953
nm0532187	Hamilton MacFadden	1901
nm0041360	Jean-Jacques Aublanc	1950
nm4385028	Kyle Rappaport	1992
nm0926872	Wigbert Wicker	1939
nm1772728	Kadri Kõusaar	1980
nm1764382	Gerardo Barroso	1979
nm2012445	Guillaume Moscovitz	1969
nm0023813	Luis César Amadori	1903
nm0457334	Ferenc Kiss	1892
nm3300845	Joe Clarke	1988
nm0049386	Miroslav Balajka	1950
nm0482735	Ibrahim Lama	1904
nm0920852	Hella Wenders	1977
nm0911505	Donal Lardner Ward	1964
nm1961951	Henrik Jansson-Schweizer	1969
nm2098405	Jeremy Boreing	1979
nm2016289	Stig Hartkopf	1958
nm0028333	Glenn Andreiev	1961
nm0773316	Richard Schmiechen	1947
nm0160840	Jon M. Chu	1979
